id,name
1,S_SRM - Social Research Methodology
2,S_DIS - Descriptive and Inferential
3,S_HSS - History of Social Sciences
4,S_PRRM - Public Relations and Reputation Management
5,S_ICS - Introduction to Communication
6,S_BNE - Breaking News: Understanding Journalism in Society
7,S_P1MR - Project 1 Gemedieerde werkelijkheid
8,S_IPC - Interpersonal Communication
9,S_BCO - Behavior and communication in Organizations
10,S_P2SC - Project 2 Strategic Communication
11,S_MPC - Marketing & Persuasive communication
12,S_QNRM - Quantative research methodology
13,S_P3EP - Project 3 Effective Persuasion
14,S_ME - Media Entertainment
15,S_MSP - Media Power & Technology
16,S_PS - Philosophy of Science
17,S_P4SMA - Project 4 Social Media Analytics
18,S_RHC - Risk & Health Communication
19,S_BGI - Beyond Gender inequalities
20,S_AIS - AI & Society: Fixing Algorithmic Decision Making
21,S_ISWSE - Improving a Sustainable World by Social Entrepreneurship
22,S_CCC - Confronting Commodity Changes
23,S_MCS - To reflect on once own study behaviour and achievements and to implement this reflection for once own study planning; Bloom:
24,S_NMC - Critically analyze and assess relevant communication-scientific theories in light of new media challenges. Bloom:
25,S_TBCW - Towards Better Care and Welfare: Let's Stick Together
26,S_HDSD - The Human Dimension of Sustainable Development: From Ideal to Reality
