course,name,outcome,bloom,isNew,derivedFromId
S_SRM - Social Research Methodology,S_SRM 1,"the student knows the distinction between research strategy, research design and research method",,False,
S_SRM - Social Research Methodology,S_SRM 2,the student ... the different data collection methods and analysis techniques of social science research,,False,
S_SRM - Social Research Methodology,S_SRM 3,The student can [verb] the main principles of ethical review in social scientific research,,False,
S_SRM - Social Research Methodology,S_SRM 4,"The student can distinguish between the different perspectives on gathering knowledge about the social world, and establish a relationship between each perspective and its implications for social scientific research",C4,False,
S_SRM - Social Research Methodology,S_SRM 5,"The student can follow the steps required in translating a research question into research design, data collection into analysis design, and to identify all considerations that need to be made.",,False,
S_SRM - Social Research Methodology,S_SRM 6,"The student can make a distinction between various methods of data collection and data analysis, and assess the usefulness of these methods depending on how a research question and problem statement is defined",,False,1
S_DIS - Descriptive and Inferential,S_DIS 1,elementary methods and techniques of descriptive and inferential statistics.,,False,
S_DIS - Descriptive and Inferential,S_DIS 2,use the appropriate descriptive statistics given the available data,,False,
S_DIS - Descriptive and Inferential,S_DIS 3,apply several elaboration models,,False,
S_DIS - Descriptive and Inferential,S_DIS 4,use statistical techniques to test the difference between two groups (i.c. t-test) and to apply them in SPSS or R,,False,
S_DIS - Descriptive and Inferential,S_DIS 5,use statistical techniques to test the association between variables (i.c. correlation coefficient and regression analysis) and to apply them in SPSS or R,,False,
S_DIS - Descriptive and Inferential,S_DIS 6,construct a table with relevant statistical information and interpret it correctly,,False,
S_HSS - History of Social Sciences,S_HSS 1,"The student can argue that social sciences are the work of people, with all the concomitant social differences, forms of inequality, coincidences, forms of cooperation, et cetera",,False,
S_HSS - History of Social Sciences,S_HSS 2,"The student can explain the emergence of disciplines in the social sciences from general historical, societal changes",C2,False,
S_HSS - History of Social Sciences,S_HSS 3,"The student understands that competition has been a driving force in science, with historically unequal chances of success (measured at the level of countries, languages, gender or ethnicity).",C2,False,
S_HSS - History of Social Sciences,S_HSS 4,The student can make a well-argued assessment which ethical considerations much prevail in concrete cases of research with sometimes contradictory moral guidelines,C5,False,
S_HSS - History of Social Sciences,S_HSS 5,The student can make a critical judgment of the position of their own discipline in the social sciences.,C4,False,
S_HSS - History of Social Sciences,S_HSS 6,The student recognizes risks of societal developments that threaten the independence of researchers,C2,False,
S_HSS - History of Social Sciences,S_HSS 7,The student can assess unequal chances to make an impact by doing social science research.,C5,False,
S_HSS - History of Social Sciences,S_HSS 8,Answers questions about the history of social sciences in writing,,False,
S_PRRM - Public Relations and Reputation Management,S_PRRM 1,"The student has knowledge of theories, strategies and effects of public relations and reputation management",C1 ,False,
S_PRRM - Public Relations and Reputation Management,S_PRRM 2,"The student can describe the interplay of organizations, media and stakeholders from a theoretical perspective",C2,False,
S_PRRM - Public Relations and Reputation Management,S_PRRM 3,"The student has knowledge on specific fields of PR and reputation management, such as Crisis Communication, Stakeholder Communication, Media Relations, Corporate Social Responsibility, Issue Management and Social Media",C1,False,
S_PRRM - Public Relations and Reputation Management,S_PRRM 4,The student can reflect on potentials and constraints of strategic communication,,False,
S_PRRM - Public Relations and Reputation Management,S_PRRM 5,The student has developed the basic skills to generate a PR strategy,C3 ,False,
S_ICS - Introduction to Communication,S_ICS 3,"The student has [acquired] specific knowledge about a number of classical theories in communication science, its primary concepts, and working mechanisms",C1,False,
S_ICS - Introduction to Communication,S_ICS 4,Has acquired basic insight in the type of research that is used to study communication processes,C2,False,
S_ICS - Introduction to Communication,S_ICS 5,"The student can judge the quality of theories, and think in theoretical terms about communication processes",C5,False,
S_ICS - Introduction to Communication,S_ICS 6,The student can apply theory to explain real world phenomena,C3,False,
S_BNE - Breaking News: Understanding Journalism in Society,S_BNE 1,"describe and explain the developments in journalism (as an institution) in modern democratic societies,",,False,
S_BNE - Breaking News: Understanding Journalism in Society,S_BNE 2,reproduce different theoretical perspectives on selection and presentation of the news,,False,
S_BNE - Breaking News: Understanding Journalism in Society,S_BNE 3,The student can apply different theoretical perspectives on selection and presentation of the news as an explanatory model of current news examples,C3 ,False,
S_BNE - Breaking News: Understanding Journalism in Society,S_BNE 4,The student can describe the Dutch news media environment in a comparative perspective,C1,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 1,The student can find and paraphrase relevant scientific literature,C3,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 2,The student can establish links between the topics and theory from the subjects of semester one,C4,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 3,The student can use this information to draw up a research question,C4,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 4,The student can write a theoretical paper,C3,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 5,The student can collect data through qualitative research methods (interviews),C3,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 6,The student can present qualitative findings to a non-scientific and scientific audience,C3,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 7,The student can demonstrate critical thinking by reflecting and questioning on theories and concepts provided by the courses in the first semester.,C4,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 8,The student can make an adequate personal and team planning for the tasks ahead,C3,False,
S_P1MR - Project 1 Gemedieerde werkelijkheid,S_P1MR 9,The student can collaborate with team members on the tasks ahead in a constructive way.,A4,False,
S_IPC - Interpersonal Communication,S_IPC 1,The student has knowledge of the scientific theories and findings in the area of IPC,C1,False,
S_IPC - Interpersonal Communication,S_IPC 2,The student has knowledge of the different methods of research in the field of IPC,C1,False,
S_IPC - Interpersonal Communication,S_IPC 3,The student has knowledge of the factors and processes involved in IPC,C1,False,
S_IPC - Interpersonal Communication,S_IPC 4,understanding of the skills needed for successful communication (resulting in e.g. agreement or intimacy),,False,
S_IPC - Interpersonal Communication,S_IPC 5,recognise when and why IPC results in negative outcomes (e.g. misunderstandings or conflict),,False,
S_IPC - Interpersonal Communication,S_IPC 6,The student can relate the knowledge gained to the daily interpersonal interactions that he/she observes,C3,False,
S_BCO - Behavior and communication in Organizations,S_BCO 1,"The student has an overview of theories and models from organizational sciences, communication science, and other relevant fields of research to explain behaviour and communication in the workplace at the level of the individual, the group, and the organization as a whole",,False,
S_BCO - Behavior and communication in Organizations,S_BCO 2,"The student has knowledge about a wide variety of topics such as work attitudes and motivation, group dynamics and teamwork, decision making and managing conflict, power and leadership, and organizational change.",C1 ,False,
S_BCO - Behavior and communication in Organizations,S_BCO 3,The student has experience with applying this knowledge to solve relevant cases,C3,False,
S_P2SC - Project 2 Strategic Communication,S_P2SC 1,The student can critically analyze and evaluate an existing communication strategy and identify opportunities for the improvement of effectiveness,C5,False,
S_P2SC - Project 2 Strategic Communication,S_P2SC 2,"The student can select and apply scientific information and theories about e.g. reputation, stakeholders, and the role of communication in the overall strategy of an organization.",C3 ,False,
S_P2SC - Project 2 Strategic Communication,S_P2SC 4,"The student can design, program and conduct a quantitative survey",,False,
S_P2SC - Project 2 Strategic Communication,S_P2SC 5,The student can report on the methodology of a quantitative survey,,False,
S_P2SC - Project 2 Strategic Communication,S_P2SC 6,"The student can collect, analyze and interpret quantitative survey data",,False,
S_P2SC - Project 2 Strategic Communication,S_P2SC 7,The student can present quantitative survey results and recommendations in a report to a scientific audience.,C3,False,
S_P2SC - Project 2 Strategic Communication,S_P2SC 8,The student can present quantitative survey results and recommendations in a presentation to a non-scientific audience,,False,
S_MPC - Marketing & Persuasive communication,S_MPC 1,"The student can reproduce (C1) and interpret (C4?) the key theories of persuasive marketing communication, such as theories about attitude formation, message processing, group influence, social influence, implicit behavior, branding, positioning, and advertising.",C1,False,
S_MPC - Marketing & Persuasive communication,S_MPC 2,"The student can recognise persuasive elements in real-world (marketing) messages, and to identify these elements in theoretical terms",C4,False,
S_MPC - Marketing & Persuasive communication,S_MPC 3,The student can explain how methods and design of experimental research are applied in order to study effects of persuasive communication,C2,False,
S_QNRM - Quantative research methodology,S_QNRM 1,The student can identify advantages and disadvantages of experimental and observational designs in terms of internal and external validity,C4,False,
S_QNRM - Quantative research methodology,S_QNRM 2,"Casual models: The student can recognize models with confounding variables, meditation and moderation in a question or hypothesis",C1,False,
S_QNRM - Quantative research methodology,S_QNRM 3,"The student can construct a scale and as part of scale construction apply reliability analysis in R, interpret the results and report on them",C3,False,
S_QNRM - Quantative research methodology,S_QNRM 4,"Thes student can apply analysis of variance and linear regression analysis in R, interpret the results and report on them",C3,False,
S_QNRM - Quantative research methodology,S_QNRM 5,"The student can interpret results in terms of underlying causal models: confounding variables, mediation, and moderation",C4,False,
S_P3EP - Project 3 Effective Persuasion,S_P3EP 1,The student can critically reflect on the effectiveness of persuasive messages,C5,False,
S_P3EP - Project 3 Effective Persuasion,S_P3EP 2,The student can describe concepts relevant for experimental research,C2,False,
S_P3EP - Project 3 Effective Persuasion,S_P3EP 3,The student can apply good and responsible research practices,C3,False,
S_P3EP - Project 3 Effective Persuasion,S_P3EP 4,"The student can design, program and conduct an experimental study",,False,
S_P3EP - Project 3 Effective Persuasion,S_P3EP 5,"The student can collect, analyze and interpret quantitative experimental data",,False,
S_P3EP - Project 3 Effective Persuasion,S_P3EP 6,The student can write a short academic journal article based on experimetal data,C6,False,
S_P3EP - Project 3 Effective Persuasion,S_P3EP 7,The student can present experimental results to a scientific audience,C3,False,
